Model: prop_elecbox_10 | File: dt1_00_strm_0(1).ymap.xml | X: 522.8071 | Y: -828.1434
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(3).ymap.xml | X: 115.2221 | Y: -739.0902
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(3).ymap.xml | X: 133.5388 | Y: -767.2635
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(3).ymap.xml | X: 159.0043 | Y: -747.4305
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(3).ymap.xml | X: 170.1647 | Y: -766.5588
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(3).ymap.xml | X: 216.5042 | Y: -652.0584
Model: prop_elecbox_10 | File: dt1_rd1_strm_4.ymap.xml | X: 115.2221 | Y: -739.0902
Model: prop_elecbox_10 | File: dt1_rd1_strm_4.ymap.xml | X: 133.5388 | Y: -767.2635
Model: prop_elecbox_10 | File: dt1_rd1_strm_4.ymap.xml | X: 159.0043 | Y: -747.4305
Model: prop_elecbox_10 | File: dt1_rd1_strm_4.ymap.xml | X: 170.1647 | Y: -766.5588
Model: prop_elecbox_10 | File: dt1_rd1_strm_4.ymap.xml | X: 216.5042 | Y: -652.0584
Model: prop_elecbox_10 | File: dt1_rd1_strm_7(1).ymap.xml | X: 526.0897 | Y: -876.7276
Model: prop_elecbox_10 | File: dt1_rd1_strm_7(2).ymap.xml | X: 526.0897 | Y: -876.7276
Model: prop_elecbox_10 | File: dt1_rd1_strm_7(3).ymap.xml | X: 526.0897 | Y: -876.7276
Model: prop_elecbox_10 | File: dt1_rd1_strm_7.ymap.xml | X: 526.0897 | Y: -876.7276
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 608.8531 | Y: 144.5582
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 734.2223 | Y: 144.8781
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 651.5511 | Y: 100.3796
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 676.7448 | Y: 184.9218
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 686.1315 | Y: 80.40692
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 733.0834 | Y: 123.7033
Model: prop_elecbox_10 | File: hw1_04_strm_0(1).ymap.xml | X: 688.9449 | Y: 40.38127
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 608.8531 | Y: 144.5582
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 734.2223 | Y: 144.8781
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 651.5511 | Y: 100.3796
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 676.7448 | Y: 184.9218
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 686.1315 | Y: 80.40692
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 733.0834 | Y: 123.7033
Model: prop_elecbox_10 | File: hw1_04_strm_0(2).ymap.xml | X: 688.9449 | Y: 40.38127
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 608.8531 | Y: 144.5582
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 734.2223 | Y: 144.8781
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 651.5511 | Y: 100.3796
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 676.7448 | Y: 184.9218
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 686.1315 | Y: 80.40692
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 733.0834 | Y: 123.7033
Model: prop_elecbox_10 | File: hw1_04_strm_0(3).ymap.xml | X: 688.9449 | Y: 40.38127
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 608.8531 | Y: 144.5582
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 734.2223 | Y: 144.8781
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 651.5511 | Y: 100.3796
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 676.7448 | Y: 184.9218
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 686.1315 | Y: 80.40692
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 733.0834 | Y: 123.7033
Model: prop_elecbox_10 | File: hw1_04_strm_0.ymap.xml | X: 688.9449 | Y: 40.38127
Model: prop_elecbox_10 | File: hw1_rd_strm_0(1).ymap.xml | X: -36.88043 | Y: -238.0072
Model: prop_elecbox_10 | File: hw1_rd_strm_0(2).ymap.xml | X: -36.88043 | Y: -238.0072
Model: prop_elecbox_10 | File: hw1_rd_strm_0(3).ymap.xml | X: -36.88043 | Y: -238.0072
Model: prop_elecbox_10 | File: hw1_rd_strm_0.ymap.xml | X: -36.88043 | Y: -238.0072
Model: prop_elecbox_10 | File: hw1_rd_strm_1(1).ymap.xml | X: 476.9097 | Y: -37.16544
Model: prop_elecbox_10 | File: hw1_rd_strm_1(2).ymap.xml | X: 476.9097 | Y: -37.16544
Model: prop_elecbox_10 | File: hw1_rd_strm_1(3).ymap.xml | X: 476.9097 | Y: -37.16544
Model: prop_elecbox_10 | File: hw1_rd_strm_1.ymap.xml | X: 476.9097 | Y: -37.16544
Model: prop_elecbox_10 | File: hw1_rd_strm_6(1).ymap.xml | X: 704.401 | Y: 59.61011
Model: prop_elecbox_10 | File: hw1_rd_strm_6(1).ymap.xml | X: 706.6046 | Y: 62.7266
Model: prop_elecbox_10 | File: hw1_rd_strm_6(2).ymap.xml | X: 704.401 | Y: 59.61011
Model: prop_elecbox_10 | File: hw1_rd_strm_6(2).ymap.xml | X: 706.6046 | Y: 62.7266
Model: prop_elecbox_10 | File: hw1_rd_strm_6(3).ymap.xml | X: 704.401 | Y: 59.61011
Model: prop_elecbox_10 | File: hw1_rd_strm_6(3).ymap.xml | X: 706.6046 | Y: 62.7266
Model: prop_elecbox_10 | File: hw1_rd_strm_6.ymap.xml | X: 704.401 | Y: 59.61011
Model: prop_elecbox_10 | File: hw1_rd_strm_6.ymap.xml | X: 706.6046 | Y: 62.7266
Model: prop_elecbox_10 | File: id1_09_long_0(1).ymap.xml | X: 826.7881 | Y: -2229.145
Model: prop_elecbox_10 | File: id1_09_long_0.ymap.xml | X: 826.7881 | Y: -2229.145
Model: prop_elecbox_10 | File: id1_30_long_0(1).ymap.xml | X: 965.7502 | Y: -1629.564
Model: prop_elecbox_10 | File: id1_30_long_0(1).ymap.xml | X: 974.4805 | Y: -1628.824
Model: prop_elecbox_10 | File: id1_30_long_0.ymap.xml | X: 965.7502 | Y: -1629.564
Model: prop_elecbox_10 | File: id1_30_long_0.ymap.xml | X: 974.4805 | Y: -1628.824
Model: prop_elecbox_10 | File: id1_32_strm_0(1).ymap.xml | X: 1006.395 | Y: -1571.04
Model: prop_elecbox_10 | File: id1_32_strm_0.ymap.xml | X: 1006.395 | Y: -1571.04
Model: prop_elecbox_10 | File: id1_rd_long_0(1).ymap.xml | X: 812.1099 | Y: -1598.151
Model: prop_elecbox_10 | File: id1_rd_long_0(1).ymap.xml | X: 803.1569 | Y: -1694.6
Model: prop_elecbox_10 | File: id1_rd_long_0.ymap.xml | X: 812.1099 | Y: -1598.151
Model: prop_elecbox_10 | File: id1_rd_long_0.ymap.xml | X: 803.1569 | Y: -1694.6
Model: prop_elecbox_10 | File: id1_rd_strm_0(1).ymap.xml | X: 773.3108 | Y: -2477.943
Model: prop_elecbox_10 | File: id1_rd_strm_0.ymap.xml | X: 773.3108 | Y: -2477.943
Model: prop_elecbox_10 | File: id1_rd_strm_1(1).ymap.xml | X: 1002.214 | Y: -2171.659
Model: prop_elecbox_10 | File: id1_rd_strm_1(1).ymap.xml | X: 955.9319 | Y: -2164.291
Model: prop_elecbox_10 | File: id1_rd_strm_1(1).ymap.xml | X: 853.1241 | Y: -2211.196
Model: prop_elecbox_10 | File: id1_rd_strm_1.ymap.xml | X: 1002.214 | Y: -2171.659
Model: prop_elecbox_10 | File: id1_rd_strm_1.ymap.xml | X: 955.9319 | Y: -2164.291
Model: prop_elecbox_10 | File: id1_rd_strm_1.ymap.xml | X: 853.1241 | Y: -2211.196
Model: prop_elecbox_10 | File: id1_rd_strm_2(1).ymap.xml | X: 860.2815 | Y: -2491.847
Model: prop_elecbox_10 | File: id1_rd_strm_2.ymap.xml | X: 860.2815 | Y: -2491.847
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1245.689 | Y: -1474.21
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1114.55 | Y: -1566.049
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1141.592 | Y: -1594.745
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1115.651 | Y: -1597.954
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1212.377 | Y: -1531.59
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1187.963 | Y: -1527.208
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1191.68 | Y: -1527.825
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1212.799 | Y: -1498.721
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1170.64 | Y: -1603.739
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1173.353 | Y: -1491.87
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1168.191 | Y: -1578.641
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1162.344 | Y: -1552.574
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1219.802 | Y: -1463.82
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1127.705 | Y: -1477.945
Model: prop_elecbox_10 | File: id1_rd_strm_5(1).ymap.xml | X: 1133.577 | Y: -1520.878
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1245.689 | Y: -1474.21
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1114.55 | Y: -1566.049
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1141.592 | Y: -1594.745
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1115.651 | Y: -1597.954
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1212.377 | Y: -1531.59
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1187.963 | Y: -1527.208
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1191.68 | Y: -1527.825
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1212.799 | Y: -1498.721
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1170.64 | Y: -1603.739
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1173.353 | Y: -1491.87
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1168.191 | Y: -1578.641
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1162.344 | Y: -1552.574
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1219.802 | Y: -1463.82
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1127.705 | Y: -1477.945
Model: prop_elecbox_10 | File: id1_rd_strm_5.ymap.xml | X: 1133.577 | Y: -1520.878
Model: prop_elecbox_10 | File: id2_rdb_strm_0(1).ymap.xml | X: 686.6047 | Y: -398.2435
Model: prop_elecbox_10 | File: id2_rdb_strm_0(2).ymap.xml | X: 686.6047 | Y: -398.2435
Model: prop_elecbox_10 | File: id2_rdb_strm_0.ymap.xml | X: 686.6047 | Y: -398.2435
Model: prop_elecbox_10 | File: id2_rd_strm_4(1).ymap.xml | X: 889.6677 | Y: -1130.89
Model: prop_elecbox_10 | File: id2_rd_strm_4(2).ymap.xml | X: 889.6677 | Y: -1130.89
Model: prop_elecbox_10 | File: id2_rd_strm_4.ymap.xml | X: 889.6677 | Y: -1130.89
Model: prop_elecbox_10 | File: sc1_24_strm_0(1).ymap.xml | X: 281.0655 | Y: -1732.057
Model: prop_elecbox_10 | File: sc1_24_strm_0(2).ymap.xml | X: 281.0655 | Y: -1732.057
Model: prop_elecbox_10 | File: sc1_24_strm_0.ymap.xml | X: 281.0655 | Y: -1732.057
Model: prop_elecbox_10 | File: sc1_rd_strm_5(1).ymap.xml | X: 471.3733 | Y: -1330.848
Model: prop_elecbox_10 | File: sc1_rd_strm_5(2).ymap.xml | X: 471.3733 | Y: -1330.848
Model: prop_elecbox_10 | File: sc1_rd_strm_5.ymap.xml | X: 471.3733 | Y: -1330.848
Model: prop_elecbox_10 | File: sm_rd_strm_2(1).ymap.xml | X: -1294.469 | Y: -604.7992
Model: prop_elecbox_10 | File: sm_rd_strm_2(2).ymap.xml | X: -1294.469 | Y: -604.7992
Model: prop_elecbox_10 | File: sm_rd_strm_2.ymap.xml | X: -1294.469 | Y: -604.7992
Model: prop_elecbox_10 | File: sm_rd_strm_3(1).ymap.xml | X: -1669.072 | Y: -1158.601
Model: prop_elecbox_10 | File: sm_rd_strm_3(1).ymap.xml | X: -1664.078 | Y: -1140.854
Model: prop_elecbox_10 | File: sm_rd_strm_3(1).ymap.xml | X: -1441.523 | Y: -864.5577
Model: prop_elecbox_10 | File: sm_rd_strm_3(2).ymap.xml | X: -1669.072 | Y: -1158.601
Model: prop_elecbox_10 | File: sm_rd_strm_3(2).ymap.xml | X: -1664.078 | Y: -1140.854
Model: prop_elecbox_10 | File: sm_rd_strm_3(2).ymap.xml | X: -1441.523 | Y: -864.5577
Model: prop_elecbox_10 | File: sm_rd_strm_3.ymap.xml | X: -1669.072 | Y: -1158.601
Model: prop_elecbox_10 | File: sm_rd_strm_3.ymap.xml | X: -1664.078 | Y: -1140.854
Model: prop_elecbox_10 | File: sm_rd_strm_3.ymap.xml | X: -1441.523 | Y: -864.5577
Model: prop_elecbox_10 | File: vb_rd_long_0(1).ymap.xml | X: -1327.595 | Y: -1075.586
Model: prop_elecbox_10 | File: vb_rd_long_0(1).ymap.xml | X: -1271.444 | Y: -1091.18
Model: prop_elecbox_10 | File: vb_rd_long_0(2).ymap.xml | X: -1327.595 | Y: -1075.586
Model: prop_elecbox_10 | File: vb_rd_long_0(2).ymap.xml | X: -1271.444 | Y: -1091.18
Model: prop_elecbox_10 | File: vb_rd_long_0.ymap.xml | X: -1327.595 | Y: -1075.586
Model: prop_elecbox_10 | File: vb_rd_long_0.ymap.xml | X: -1271.444 | Y: -1091.18
